M90-BC-20B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (20) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four. Each battery string (4  modules) protected by a 100A breaker. Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 2116 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option.  Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$32,700.00 ",,
M90-BC-24B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (24) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four.  Each battery string (4  modules) protected by a 100A breaker.Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 2456 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option.  Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$36,800.00 ",,
M90-BC-28B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (28) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four. Each battery string (4  modules) protected by a 100A breaker.Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 2796 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option.  Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$40,900.00 ",,
M90-BC-32B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (32) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Each battery string (4  modules) protected by a 100A breaker. Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 3136 lbs. Battery modules shipped on separate pallet. Up to 2 battery cabinets can be paralleled with M90-BUS option.  Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$45,000.00 ",,
,,,,
Model,Description, List Price  ,,
90881-C208365ECA250A25002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 250 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 42""H x 11""D; 125 lbs.  For Use with all M90 Family up to 60kVA", Call For Price ,,
90881-C208365ECA300A30002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 300 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 42""H x 11""D; 125 lbs.  For Use with all M90 Family up to 75kVA", Call For Price ,,
90881-C208365ECA350A35002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 350 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 42""H x 11""D; 125 lbs.  For Use with all M90 Family up to 80kVA", Call For Price ,,
90881-C208365ECA400A40002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 400 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  30""W x 42""H x 11""D; 125 lbs.  For Use with all M90 Family up to 105kVA", Call For Price ,,
90882-C208365ECA500A50002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 500 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  36""W x 48""H x 13.5""D; 165 lbs.  For Use with all M90 Family up to 120kVA", Call For Price ,,
90882-C208365ECA600A60002MB,"Three-Breaker Maintenance Bypass Switch; 208VAC, 600 A, 65kAIC;  Wallmount;  includes Bypass Input Breaker, Maintenance Isolation Breaker, and Maintenance Bypass Breaker, kirk-key locks, lockable front panel.  36""W x 48""H x 13.5""D; 165 lbs.  For Use with all M90 Family up to 140kVA", Call For Price ,,
,,,,
,,,,
Model,Description, List Price  ,,
SNMP-2P3,"Internal two port SNMP/WEB Card for use with E91,  M90(U) and X90 Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMD Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$349.00 ,,
MODBUS-IN,"MODBUS CARD for use with the E91,  M90(U) and X90 Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
SNMP-EMD,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2P3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$180.00 ,,
M90-COMM,"Extra Communications card for M90.  Allows for (6) programmable Form C relay contact outputs,  (2) external Form C contact inputs, and up to (4) optional external temperature probe inputs and provides an additional card slot for Web/SNMP card . Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$370.00 ,,
M90-BTS,"Battery Temperature Sensor.  Allows M90 and X90 Series UPS to monitor battery temperature and  provide temperature compensated battery charging.   A single temperature sensor can connect to temperature port on UPS chassis.  Up to four additional temperature sensors  can be connected with optional M90-COMM communication card.  Temperature sensor has  3 meter cable.  Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$66.00 ,,
,,,,
Model,Description, List Price  ,,
M90814SU581,M90-80 and M90-140 5x8 Startup and 1 year on-site warranty.  For Zone 1 (within 100 miles of XPC Service Center)  StartUP includes installation of the M90 power modules and Internal battery trays by the startup technician.,"$5,900.00 ",,
M90814SU582,M90-80 and M90-140 5x8 Startup and 2 year on-site warranty.  For Zone 1 (within 100 miles of XPC Service Center).  StartUP includes installation of the M90 power modules and Internal battery trays by the startup technician.,"$6,500.00 ",,
M90814SU583,M90-80 and M90-140 5x8 Startup and 3 year on-site warranty.  For Zone 1 (within 100 miles of XPC Service Center).  StartUP includes installation of the M90 power modules and Internal battery trays by the startup technician.,"$9,600.00 ",,
M90814SU72,M90-80 and M90-140 7x24 Startup and 2 year on-site warranty.  For Zone 1 (within 100 miles of XPC Service Center).  StartUP includes installation of the M90 power modules and Internal battery trays by the startup technician.,"$8,450.00 ",,
M90814SU73,M90-80 and M90-140 7x24 Startup and 3 year on-site warranty.  For Zone 1 (within 100 miles of XPC Service Center).  StartUP includes installation of the M90 power modules and Internal battery trays by the startup technician.,"$11,700.00 ",,
M90814EX1,"M90-80 and M90-140 One year extention of factory warranty.  This warranty covers parts and depot repair labor, extending standard factory warranty to 3yrs.","$4,200.00 ",,
M90814PM7,"M90-80 and M90-140 Preventative Maintenance Service, 7x24. For Zone 1 (within 100 miles of XPC Service Center).","$4,900.00 ",,
MSOS3BM,On-Site 3 Year Warranty for  M90-BCBAT Battery Module.  Three year coverage includes replacement parts  and on-site corrective maintenance. Services are 5x8. Purchase one On-Site 3 Year Warranty  Plan  for each M90-BCBAT Battery Module.  Startup with 3 year on-site must be purchased for the M90 UPS System.  ,$350.00 ,,
SVCADD,Service adder for locations further than 100 miles.,"$1,050.00 ",,
,,,,
,,,,
X90-ENC2S,"X90-2S Series (Unity PF) modular online 480VAC three-phase, 3-wire top entry UPS enclosure set up for internal and/or external battery (no internal batteries included).  Includes 10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant ; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 657  lbs. Enclosure can accommodate up to 2 x 50kVA/kW or 70kVA/kW X90 Power Modules for up to 140KVA/kW  capacity and up to 20 x X90-BCBAT battery modules.  Power modules, internal battery modules and external battery ordered separately.","$35,700.00 ",,
X90-2SPM50,"Xtreme Power X90 50kVA/50kW  power module.  480 VAC  three-phase;   19.5"" W x 29.5"" D x 5.5"" H. 104 lbs.","$9,600.00 ",,
X90-2SPM70,"Xtreme Power X90 Series 70kVA/70kW  power module.  208/120 VAC  three-phase;   19.5"" W x 29.5"" D x 5.5"" H. 105 lbs. ","$10,500.00 ",,
X90-BC,"X90 Matching External Modular Battery Cabinet. Holds up to (36) x X90-BCBAT Battery  Modules; 2 Year Warranty, Dims 23.6""W x 42""D x 79""H, Weight 416 lbs.","$6,500.00 ",,
X90-BCBAT,"Battery Module for X90-2S Internal or X90-BC External Battery Cabinet. Contains (10) CSB 12580 Batteries each, 4 battery modules required per string, must be purchased in multiplies of 4, (xx) battery modules will provide ___ minutes runtime @ ___kW load, Dims: 4.3""W x 28.5""D x 6.5""H, Weight 70 lbs.",$990.00 ,,
X90-BCBT ,"Empty Battery Tray for X90-2S or X90-BC. Each Tray can hold (10) CSB 12580 batteries per tray.  Four  trays required for a full string.  Dims; 4.3""W x 28.5""D x 6.5""H, 15 lbs.   Includes battery to battery cabling.  Batteries ordered separately. ",$500.00 ,,
X90-SC2S,"Side car for bottom entry.  Dims: 6.1""W x 42""D x 79""H  ",$900.00 ,,
X90-SEIS,Xtreme Power X90-2S Seismic Anchor  Kit. Includes Site Specific Seismic Calculations  with State of California Engineer Stamp.  Lead time 3-4 weeks ARO.  Weight:  TBD lbs.  Requires site specific information to be submitted at time of order. One Kit required for each X90-2S UPS.,"$1,900.00 ",,
X90BC-SEIS,Xtreme Power X90-BC Seismic Anchor  Kit. Includes Site Specific Seismic Calculations  with State of California Engineer Stamp.  Lead time 3-4 weeks ARO.  Weight:  TBD lbs.  Requires site specific information to be submitted at time of order. One Kit required for each  X90-BC battery cabinet.,"$1,900.00 ",,
,,,,
Model,Description, List Price  ,,
X902S-50K00B,"Xtreme Power X90-2S Series bundle; 50KVA/50KW; Modular online 480VAC three-phase, 3-Wire top entry UPS set up for external battery (no internal batteries).  Includes (1) Power Module, static switch, 10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant ; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 761  lbs. Enclosure can accommodate up to 2 x 50kVA/kW X90 Power Modules for up to 100KVA/kW  capacity and up to 20 x X90-BCBAT battery modules.  External battery ordered separately.  Power Modules ship on a separate pallet.","$45,300.00 ",,
X902S-50K12B,"Xtreme Power X90-2S Series bundle; 50KVA/50KW; Modular online 480VAC three-phase, 3-Wire top entry UPS.  Includes (1) Power Module, (12) X90-BCBAT providing approximately 8 minutes at 50kW load; static switch,10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant ; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 1601  lbs. Enclosure can accommodate up to 2 x 50kVA/kW X90 Power Modules for up to 100KVA/kW capacity and up to 20 x X90-BCBAT battery modules.  Power and Battery Modules ship on a separate pallet.","$57,180.00 ",,
X902S-50K16B,"Xtreme Power X90-2S Series bundle; 50KVA/50KW; Modular online 480VAC three-phase, 3-Wire top entry UPS.  Includes (1) Power Module, (16) X90-BCBAT providing approximately 12 minutes at 50kW load, static switch; 10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant ; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 1881 lbs. Enclosure can accommodate up to 2 x 50kVA/kW X90 Power Modules for up to 100KVA/kW capacity and up to 20 x X90-BCBAT battery modules.  Power and Battery Modules ship on a separate pallet.","$61,140.00 ",,
X902S-50K20B,"Xtreme Power X90-2S Series bundle; 50KVA/50KW; Modular online 480VAC three-phase, 3-Wire top entry UPS.  Includes (1) Power Module, (20) X90-BCBAT providing approximately 16 minutes at 50kW load; static switch, 10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 2161  lbs. Enclosure can accommodate up to 2 x 50kVA/kW X90 Power Modules for up to 100KVA/kW capacity and up to 20 x X90-BCBAT battery modules.  Power and Battery Modules ship on a separate pallet.","$65,100.00 ",,
X902S-100K00B,"Xtreme Power X90-2S Series bundle; 100KVA/100KW; Modular online 480VAC three-phase, 3-Wire top entry UPS set up for external battery (no internal batteries).  Includes (2) Power Modules, static switch, 10"" LCD touch screen, front mounted 65kAIC maintenance bypass with static switch interlock, hot swappable internal batteries; up to 96.5% efficiency in online mode or 99% efficiency in ECO mode; communication port; UL-1778, cUL, FCC A, RoHS, TAA  Compliant ; Start-up (5x8) and 2-Year on-site warranty are included; 23.6""W x 42""D x 79""H; 865  lbs. Enclosure can accommodate up to  20 x X90-BCBAT battery modules.  External battery cabinet ordered separately. Power Modules ship on a separate pallet.","$54,900.00 ",,
